,GENERAL_DAM_OCCUPANCY_RATE,GENERAL_DAM_RESERVED_WATER,precipitation_sum (mm),temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm)
2018-07-31,76.00129032258064,660.0967741935484,49.7,24.654838709677417,49.7,0.0
2018-08-31,67.56451612903226,586.9354838709677,1.6,25.480645161290322,1.6,0.0
2018-09-30,58.025666666666666,504.03333333333336,69.2,20.959999999999997,69.2,0.0
2018-10-31,53.27225806451613,462.741935483871,26.4,16.76774193548387,26.4,0.0
2018-11-30,48.96933333333333,425.4,98.9,12.426666666666668,98.9,0.0
2018-12-31,69.80774193548388,606.4516129032259,167.0,6.741935483870968,166.7,0.21
2019-01-31,88.73870967741935,770.8064516129032,121.3,6.170967741935484,107.4,9.8
2019-02-28,90.98071428571428,790.3214285714286,77.9,6.396428571428571,70.7,5.04
2019-03-31,93.71516129032258,814.0,37.2,8.770967741935483,37.2,0.0
2019-04-30,92.609,804.3666666666667,47.5,11.683333333333334,47.5,0.0
2019-05-31,88.9483870967742,772.6451612903226,57.5,18.351612903225806,57.5,0.0
2019-06-30,82.79766666666666,719.3,30.6,23.803333333333335,30.6,0.0
2019-07-31,73.16741935483871,635.483870967742,36.0,23.4,36.0,0.0
2019-08-31,63.365483870967736,550.4516129032259,46.6,24.312903225806455,46.6,0.0
2019-09-30,53.800666666666665,467.3333333333333,17.0,21.14,17.0,0.0
2019-10-31,45.446451612903225,394.7096774193548,50.6,17.67096774193548,50.6,0.0
2019-11-30,38.68933333333334,336.06666666666666,51.699999999999996,15.276666666666667,51.699999999999996,0.0
2019-12-31,34.90064516129033,303.19354838709677,74.5,9.125806451612902,74.5,0.0
2020-01-31,50.58064516129032,439.0967741935484,121.19999999999999,6.158064516129032,121.19999999999999,0.0
2020-02-29,60.82379310344828,527.8275862068965,76.9,7.682758620689656,74.9,1.4
2020-03-31,64.16451612903225,556.9032258064516,75.5,9.45483870967742,75.5,0.0
2020-04-30,69.35064516129032,601.8709677419355,59.4,10.806666666666667,59.4,0.0
2020-05-31,68.28548387096774,592.6129032258065,68.6,16.638709677419353,68.6,0.0
2020-06-30,65.36896551724138,567.4827586206897,96.5,21.39,96.5,0.0
2020-07-31,61.260666666666665,531.7333333333333,2.7,24.200000000000003,2.7,0.0
2020-08-31,52.13161290322581,452.35483870967744,2.3,24.509677419354837,2.3,0.0
2020-09-30,42.03933333333334,364.6666666666667,21.4,22.90666666666667,21.4,0.0
2020-10-31,33.1741935483871,287.6774193548387,99.2,18.712903225806453,99.2,0.0
2020-11-30,27.474,238.2,19.8,11.936666666666667,19.8,0.0
2020-12-31,22.123225806451615,191.67741935483872,37.0,10.561290322580644,37.0,0.0
2021-01-31,27.173750000000002,235.53125,149.5,8.087096774193547,133.9,10.99
2021-02-28,47.902857142857144,415.60714285714283,59.599999999999994,7.121428571428572,33.0,18.62
2021-03-31,63.73741935483871,553.2258064516129,95.5,6.832258064516129,95.4,0.07
2021-04-30,74.45285714285714,646.1428571428571,68.1,10.876666666666667,68.1,0.0
